transaction_id,customer_id,age,gender,loyalty_member,product_type,sku,rating,order_status,payment_method,total_price,unit_price,quantity,purchase_date,shipping_type,add-on_total,add_on_1,add_on_2,add_on_3
TRS2509230005,8455,38,Female,Yes,Smartwatch,SKU1003,3,Cancelled,Debit Card,4224.15,844.83,5,2023-09-25,Standard,0.0,None,None,None
TRS2509230006,4351,63,Female,No,Laptop,SKU1005,3,Cancelled,Credit Card,463.96,463.96,1,2023-09-25,Overnight,28.34,Impulse Item,None,None
TRS2509230007,1838,35,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,8448.3,844.83,10,2023-09-25,Standard,11.23,Impulse Item,None,None
TRS2509230008,3806,35,Male,Yes,Smartphone,SKU1001,5,Completed,Credit Card,145.25,20.75,7,2023-09-25,Standard,91.78,Accessory,Extended Warranty,Impulse Item
TRS2509230009,8381,44,Female,No,Smartphone,SKU1004,2,Cancelled,PayPal,791.19,791.19,1,2023-09-25,Standard,0.0,None,None,None
TRS2509230010,6652,73,Male,No,Smartphone,SKU1001,5,Cancelled,Cash,207.5,20.75,10,2023-09-25,Standard,62.52,Extended Warranty,Accessory,None
TRS2509230011,6668,40,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,1582.38,791.19,2,2023-09-25,Overnight,37.44,Accessory,Extended Warranty,None
TRS2509230012,5364,79,Female,No,Tablet,SKU1002,3,Completed,PayPal,1729.21,247.03,7,2023-09-25,Express,36.69,Accessory,None,None
TRS2509230013,9647,60,Male,No,Laptop,SKU1005,3,Completed,Credit Card,2783.76,463.96,6,2023-09-25,Express,92.35,Accessory,Impulse Item,Accessory
TRS2509230014,6671,66,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,2023-09-25,Standard,41.4,Accessory,None,None
TRS2509230015,7381,23,Female,No,Tablet,SKU1002,3,Completed,Credit Card,1235.15,247.03,5,2023-09-25,Express,15.53,Extended Warranty,None,None
TRS2509230016,7462,55,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,2470.3,247.03,10,2023-09-25,Express,9.27,Impulse Item,None,None
TRS2509230017,4208,75,Female,No,Smartphone,SKU1001,5,Cancelled,Cash,207.5,20.75,10,2023-09-25,Overnight,0.0,None,None,None
TRS2509230018,9710,30,Female,No,Tablet,SKU1002,3,Cancelled,Cash,247.03,247.03,1,2023-09-25,Overnight,0.0,None,None,None
TRS2509230019,7837,52,Male,No,Smartphone,SKU1001,5,Cancelled,Credit Card,207.5,20.75,10,2023-09-25,Express,0.0,None,None,None
TRS2509230020,6917,39,Male,Yes,Tablet,SKU1002,3,Completed,Credit Card,1729.21,247.03,7,2023-09-25,Express,0.0,None,None,None
TRS2509230021,4991,72,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,62.25,20.75,3,2023-09-25,Express,37.87,Extended Warranty,Accessory,None
TRS2509230022,6430,58,Female,No,Tablet,SKU1002,3,Completed,Credit Card,1482.18,247.03,6,2023-09-25,Express,85.44,Accessory,Accessory,Impulse Item
TRS2509230023,5069,31,Male,Yes,Tablet,SKU1002,3,Completed,Cash,494.06,247.03,2,2023-09-25,Overnight,0.0,None,None,None
TRS2509230024,8041,70,Female,Yes,Tablet,SKU1002,3,Completed,Cash,1235.15,247.03,5,2023-09-25,Standard,31.45,Extended Warranty,None,None
TRS2509230025,5864,61,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,791.19,791.19,1,2023-09-25,Overnight,0.0,None,None,None
TRS2509230026,7919,52,Male,No,Smartphone,SKU1004,2,Cancelled,PayPal,6329.52,791.19,8,2023-09-25,Standard,31.6,Accessory,Extended Warranty,None
TRS2509230027,2914,59,Female,No,Laptop,SKU1005,3,Cancelled,Cash,463.96,463.96,1,2023-09-25,Standard,62.8,Impulse Item,Accessory,Accessory
TRS2509230028,1353,60,Male,No,Smartphone,SKU1004,2,Cancelled,Cash,3955.95,791.19,5,2023-09-25,Standard,63.53,Extended Warranty,Impulse Item,Accessory
TRS2509230029,5905,49,Male,No,Laptop,SKU1005,3,Completed,Credit Card,463.96,463.96,1,2023-09-25,Standard,44.95,Accessory,None,None
TRS2509230030,3104,52,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,4747.14,791.19,6,2023-09-25,Overnight,78.84,Accessory,Extended Warranty,None
TRS2609230001,5976,45,Male,No,Tablet,SKU1002,3,Completed,Cash,494.06,247.03,2,2023-09-26,Express,0.0,None,None,None
TRS2609230002,7497,39,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,3379.32,844.83,4,2023-09-26,Overnight,0.0,None,None,None
TRS2609230003,6154,67,Female,No,Laptop,SKU1005,3,Completed,PayPal,2783.76,463.96,6,2023-09-26,Overnight,84.11,Extended Warranty,Extended Warranty,None
TRS2609230004,1929,41,Male,Yes,Smartwatch,SKU1003,3,Cancelled,PayPal,3379.32,844.83,4,2023-09-26,Overnight,5.55,Extended Warranty,None,None
TRS2609230005,4192,36,Female,No,Smartwatch,SKU1003,3,Completed,Credit Card,1689.66,844.83,2,2023-09-26,Express,81.02,Extended Warranty,Extended Warranty,None
TRS2609230006,2556,35,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,3379.32,844.83,4,2023-09-26,Overnight,60.72,Extended Warranty,Impulse Item,Accessory
TRS2609230007,2479,80,Male,No,Laptop,SKU1005,3,Completed,Debit Card,3247.72,463.96,7,2023-09-26,Overnight,29.62,Extended Warranty,None,None
TRS2609230008,1359,42,Female,No,Tablet,SKU1002,3,Cancelled,Credit Card,988.12,247.03,4,2023-09-26,Express,47.68,Extended Warranty,Accessory,None
TRS2609230009,8064,30,Male,No,Tablet,SKU1002,3,Completed,Credit Card,1235.15,247.03,5,2023-09-26,Express,130.41,Accessory,Impulse Item,Extended Warranty
TRS2609230010,3043,66,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1391.88,463.96,3,2023-09-26,Overnight,0.0,None,None,None
TRS2609230011,2029,63,Male,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,4224.15,844.83,5,2023-09-26,Overnight,34.65,Accessory,None,None
TRS2609230012,1776,32,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,83.0,20.75,4,2023-09-26,Express,66.68,Extended Warranty,Extended Warranty,Impulse Item
TRS2609230013,3602,24,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,8448.3,844.83,10,2023-09-26,Standard,16.65,Accessory,None,None
TRS2609230014,4998,33,Female,Yes,Laptop,SKU1005,3,Completed,Cash,4639.6,463.96,10,2023-09-26,Overnight,34.15,Extended Warranty,Accessory,None
TRS2609230015,2973,38,Male,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,7603.47,844.83,9,2023-09-26,Overnight,71.65,Impulse Item,Accessory,Extended Warranty
TRS2609230016,1995,33,Female,No,Tablet,SKU1002,3,Cancelled,Credit Card,2470.3,247.03,10,2023-09-26,Standard,0.0,None,None,None
TRS2609230017,3654,39,Female,No,Tablet,SKU1002,3,Completed,Cash,1482.18,247.03,6,2023-09-26,Standard,27.68,Extended Warranty,None,None
TRS2609230018,3654,39,Female,No,Laptop,SKU1005,3,Completed,PayPal,2783.76,463.96,6,2023-09-26,Standard,0.0,None,None,None
TRS2609230019,3666,18,Female,No,Tablet,SKU1002,3,Completed,Debit Card,1235.15,247.03,5,2023-09-26,Express,6.96,Accessory,None,None
TRS2609230020,2348,25,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,844.83,844.83,1,2023-09-26,Standard,94.76,Extended Warranty,Impulse Item,Impulse Item
TRS2609230021,5559,65,Female,No,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,2023-09-26,Overnight,82.56,Accessory,Accessory,None
TRS2609230022,6973,35,Female,No,Smartphone,SKU1004,2,Cancelled,PayPal,3164.76,791.19,4,2023-09-26,Standard,23.85,Extended Warranty,Impulse Item,None
TRS2609230023,6028,19,Female,No,Tablet,SKU1002,3,Completed,PayPal,2223.27,247.03,9,2023-09-26,Standard,0.0,None,None,None
TRS2609230024,4801,32,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,62.25,20.75,3,2023-09-26,Standard,20.68,Accessory,Accessory,None
TRS2709230001,7676,73,Male,No,Tablet,SKU1002,3,Completed,PayPal,2223.27,247.03,9,2023-09-27,Overnight,0.0,None,None,None
TRS2709230002,9534,41,Male,No,Tablet,SKU1002,3,Cancelled,Cash,741.09,247.03,3,2023-09-27,Overnight,39.31,Impulse Item,None,None
TRS2709230003,5195,66,Male,No,Tablet,SKU1002,3,Completed,PayPal,741.09,247.03,3,2023-09-27,Standard,46.78,Impulse Item,None,None
TRS2709230004,5099,27,Female,No,Smartphone,SKU1004,2,Cancelled,Cash,791.19,791.19,1,2023-09-27,Standard,45.8,Impulse Item,Impulse Item,None
TRS2709230005,8286,74,Male,No,Laptop,SKU1005,3,Completed,Debit Card,1391.88,463.96,3,2023-09-27,Standard,8.64,Extended Warranty,None,None
TRS2709230006,4734,40,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,791.19,791.19,1,2023-09-27,Standard,0.0,None,None,None
TRS2709230007,9469,38,Female,No,Smartphone,SKU1004,2,Cancelled,Debit Card,1582.38,791.19,2,2023-09-27,Standard,38.28,Impulse Item,Extended Warranty,None
TRS2709230008,8598,60,Female,No,Tablet,SKU1002,3,Completed,PayPal,494.06,247.03,2,2023-09-27,Overnight,64.48,Accessory,Accessory,None
TRS2709230009,7773,32,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,4747.14,791.19,6,2023-09-27,Standard,0.0,None,None,None
TRS2709230010,8272,28,Male,No,Smartphone,SKU1001,5,Completed,Cash,207.5,20.75,10,2023-09-27,Express,41.79,Accessory,None,None
TRS2709230011,4857,71,Male,No,Tablet,SKU1002,3,Cancelled,PayPal,2470.3,247.03,10,2023-09-27,Express,63.42,Impulse Item,Accessory,None
TRS2709230012,7412,26,Male,Yes,Smartphone,SKU1004,2,Cancelled,Debit Card,7120.71,791.19,9,2023-09-27,Standard,63.35,Impulse Item,Extended Warranty,Impulse Item
TRS2709230013,7675,43,Male,No,Smartphone,SKU1004,2,Cancelled,PayPal,4747.14,791.19,6,2023-09-27,Standard,63.72,Impulse Item,Accessory,None
TRS2709230014,8626,36,Male,Yes,Laptop,SKU1005,3,Completed,Cash,2319.8,463.96,5,2023-09-27,Overnight,0.0,None,None,None
TRS2709230015,8394,47,Female,Yes,Tablet,SKU1002,3,Cancelled,Credit Card,1729.21,247.03,7,2023-09-27,Standard,52.29,Extended Warranty,Extended Warranty,None
TRS2709230016,8702,47,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,7911.9,791.19,10,2023-09-27,Express,90.48,Extended Warranty,Extended Warranty,None
TRS2709230017,6965,66,Male,Yes,Smartphone,SKU1004,2,Completed,Debit Card,7911.9,791.19,10,2023-09-27,Express,13.85,Accessory,None,None
TRS2709230018,6890,18,Female,No,Tablet,SKU1002,3,Completed,Debit Card,2223.27,247.03,9,2023-09-27,Standard,0.0,None,None,None
TRS2709230019,1942,36,Male,Yes,Tablet,SKU1002,3,Completed,PayPal,1976.24,247.03,8,2023-09-27,Express,80.78,Extended Warranty,Impulse Item,None
TRS2709230020,9214,38,Female,No,Tablet,SKU1002,3,Completed,Debit Card,1729.21,247.03,7,2023-09-27,Express,0.0,None,None,None
TRS2709230021,2974,70,Male,No,Smartwatch,SKU1003,3,Completed,PayPal,844.83,844.83,1,2023-09-27,Standard,57.9,Accessory,Extended Warranty,None
TRS2709230022,5390,37,Male,No,Laptop,SKU1005,3,Completed,Credit Card,927.92,463.96,2,2023-09-27,Express,69.55,Impulse Item,Accessory,None
TRS2709230023,2859,63,Female,No,Laptop,SKU1005,3,Completed,Cash,1391.88,463.96,3,2023-09-27,Express,87.43,Extended Warranty,Extended Warranty,None
TRS2709230024,2806,26,Male,No,Laptop,SKU1005,3,Cancelled,PayPal,2319.8,463.96,5,2023-09-27,Overnight,101.89,Extended Warranty,Extended Warranty,Impulse Item
TRS2709230025,5516,53,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,7603.47,844.83,9,2023-09-27,Express,34.1,Impulse Item,None,None
TRS2709230026,7274,55,Female,No,Tablet,SKU1002,3,Completed,Credit Card,2470.3,247.03,10,2023-09-27,Overnight,44.06,Extended Warranty,None,None
TRS2709230027,4163,24,Male,No,Smartphone,SKU1004,2,Cancelled,PayPal,4747.14,791.19,6,2023-09-27,Standard,0.0,None,None,None
TRS2709230028,8170,31,Male,No,Smartwatch,SKU1003,3,Cancelled,PayPal,5913.81,844.83,7,2023-09-27,Overnight,28.79,Accessory,Accessory,None
TRS2709230029,6701,74,Female,No,Tablet,SKU1002,3,Completed,Credit Card,1976.24,247.03,8,2023-09-27,Overnight,0.0,None,None,None
TRS2709230030,6752,73,Male,No,Tablet,SKU1002,3,Cancelled,PayPal,247.03,247.03,1,2023-09-27,Standard,92.12,Accessory,Extended Warranty,Impulse Item
TRS2809230001,4850,34,Male,No,Smartwatch,SKU1003,3,Completed,Cash,7603.47,844.83,9,2023-09-28,Overnight,0.0,None,None,None
TRS2809230002,4605,67,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,1482.18,247.03,6,2023-09-28,Overnight,0.0,None,None,None
TRS2809230003,2875,22,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,2023-09-28,Express,53.47,Extended Warranty,Extended Warranty,None
TRS2809230004,8013,46,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,4224.15,844.83,5,2023-09-28,Standard,68.92,Impulse Item,Impulse Item,Accessory
TRS2809230005,7151,45,Male,Yes,Tablet,SKU1002,3,Completed,Debit Card,1729.21,247.03,7,2023-09-28,Express,59.5,Accessory,Accessory,None
TRS2809230006,1788,79,Female,No,Tablet,SKU1002,3,Cancelled,Cash,1729.21,247.03,7,2023-09-28,Express,0.0,None,None,None
TRS2809230007,8984,79,Male,No,Laptop,SKU1005,3,Cancelled,PayPal,2319.8,463.96,5,2023-09-28,Express,47.35,Impulse Item,Accessory,None
TRS2809230008,3246,50,Female,No,Tablet,SKU1002,3,Completed,Cash,1482.18,247.03,6,2023-09-28,Overnight,0.0,None,None,None
TRS2809230009,7534,27,Male,Yes,Smartwatch,SKU1003,3,Completed,PayPal,8448.3,844.83,10,2023-09-28,Overnight,71.17,Impulse Item,Accessory,Accessory
TRS2809230010,9538,45,Female,No,Smartphone,SKU1004,2,Cancelled,Cash,4747.14,791.19,6,2023-09-28,Express,91.7,Impulse Item,Impulse Item,Extended Warranty
TRS2809230011,1060,72,Male,Yes,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2023-09-28,Standard,52.01,Accessory,Impulse Item,Extended Warranty
TRS2809230012,3648,35,Female,No,Smartphone,SKU1001,5,Cancelled,PayPal,124.5,20.75,6,2023-09-28,Standard,0.0,None,None,None
TRS2809230013,9710,30,Female,No,Smartwatch,SKU1003,3,Cancelled,Cash,4224.15,844.83,5,2023-09-28,Overnight,5.94,Extended Warranty,None,None
TRS2809230014,4292,80,Male,Yes,Smartwatch,SKU1003,3,Cancelled,PayPal,844.83,844.83,1,2023-09-28,Overnight,77.77,Extended Warranty,Extended Warranty,None
TRS2809230015,6779,44,Female,No,Laptop,SKU1005,3,Completed,Debit Card,3247.72,463.96,7,2023-09-28,Express,61.49,Accessory,Accessory,None
TRS2809230016,4000,54,Female,No,Laptop,SKU1005,3,Cancelled,Credit Card,4175.64,463.96,9,2023-09-28,Overnight,14.11,Accessory,None,None
TRS2809230017,9443,51,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,6329.52,791.19,8,2023-09-28,Express,39.75,Impulse Item,None,None
TRS2809230018,2370,47,Male,No,Laptop,SKU1005,3,Cancelled,Debit Card,3247.72,463.96,7,2023-09-28,Overnight,0.0,None,None,None
TRS2809230019,6470,78,Male,No,Tablet,SKU1002,3,Completed,Cash,247.03,247.03,1,2023-09-28,Standard,55.75,Extended Warranty,Accessory,None
TRS2809230020,2050,46,Female,No,Smartwatch,SKU1003,3,Completed,Cash,5068.98,844.83,6,2023-09-28,Express,61.87,Impulse Item,Impulse Item,None
TRS2809230021,6290,31,Female,No,Smartphone,SKU1004,2,Completed,PayPal,7120.71,791.19,9,2023-09-28,Express,92.32,Extended Warranty,Accessory,None
TRS2809230022,6266,56,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,7603.47,844.83,9,2023-09-28,Overnight,0.0,None,None,None
TRS2809230023,1699,52,Male,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,2023-09-28,Express,107.8,Impulse Item,Extended Warranty,Extended Warranty
TRS2809230024,3942,35,Female,No,Laptop,SKU1005,3,Completed,Debit Card,2319.8,463.96,5,2023-09-28,Standard,0.0,None,None,None
TRS2909230001,5822,22,Male,No,Smartphone,SKU1001,5,Cancelled,PayPal,186.75,20.75,9,2023-09-29,Express,0.0,None,None,None
TRS2909230002,7455,33,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,791.19,791.19,1,2023-09-29,Standard,59.94,Impulse Item,Impulse Item,Accessory
TRS2909230003,1183,80,Male,No,Laptop,SKU1005,3,Cancelled,Credit Card,463.96,463.96,1,2023-09-29,Standard,133.13,Impulse Item,Extended Warranty,Extended Warranty
TRS2909230004,5584,37,Male,Yes,Smartphone,SKU1004,2,Cancelled,Cash,7120.71,791.19,9,2023-09-29,Overnight,0.0,None,None,None
TRS2909230005,5190,19,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,4224.15,844.83,5,2023-09-29,Express,46.31,Accessory,Impulse Item,None
TRS2909230006,5378,79,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,3164.76,791.19,4,2023-09-29,Standard,97.5,Extended Warranty,Accessory,Extended Warranty
TRS2909230007,5292,35,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,2534.49,844.83,3,2023-09-29,Standard,42.74,Impulse Item,None,None
TRS2909230008,7553,49,Female,No,Tablet,SKU1002,3,Completed,Cash,741.09,247.03,3,2023-09-29,Express,64.3,Extended Warranty,Extended Warranty,Accessory
TRS2909230009,3211,44,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,145.25,20.75,7,2023-09-29,Standard,90.06,Accessory,Accessory,Accessory
TRS2909230010,4239,26,Male,No,Laptop,SKU1005,3,Completed,PayPal,2783.76,463.96,6,2023-09-29,Standard,66.88,Accessory,Impulse Item,None
TRS2909230011,1352,19,Male,Yes,Smartphone,SKU1004,2,Completed,Credit Card,1582.38,791.19,2,2023-09-29,Overnight,45.21,Accessory,None,None
TRS2909230012,2742,20,Female,Yes,Tablet,SKU1002,3,Completed,PayPal,1729.21,247.03,7,2023-09-29,Express,0.0,None,None,None
TRS2909230013,2983,71,Male,Yes,Laptop,SKU1005,3,Cancelled,Cash,1855.84,463.96,4,2023-09-29,Standard,57.22,Impulse Item,Extended Warranty,Accessory
TRS2909230014,1637,27,Female,No,Tablet,SKU1002,3,Completed,Debit Card,741.09,247.03,3,2023-09-29,Overnight,26.45,Impulse Item,None,None
TRS2909230015,2236,28,Male,No,Smartphone,SKU1001,5,Cancelled,Debit Card,103.75,20.75,5,2023-09-29,Express,39.72,Accessory,Extended Warranty,Extended Warranty
TRS2909230016,7422,49,Male,No,Tablet,SKU1002,3,Cancelled,Debit Card,494.06,247.03,2,2023-09-29,Express,26.54,Impulse Item,None,None
TRS2909230017,7854,51,Female,No,Tablet,SKU1002,3,Completed,Cash,1729.21,247.03,7,2023-09-29,Express,56.82,Extended Warranty,Impulse Item,Impulse Item
TRS2909230018,7192,22,Male,No,Smartphone,SKU1001,5,Completed,PayPal,166.0,20.75,8,2023-09-29,Overnight,79.84,Accessory,Extended Warranty,None
TRS2909230019,4162,22,Female,No,Smartphone,SKU1001,5,Completed,Cash,83.0,20.75,4,2023-09-29,Express,88.84,Accessory,Extended Warranty,Impulse Item
TRS2909230020,4824,20,Male,No,Laptop,SKU1005,3,Cancelled,Debit Card,3247.72,463.96,7,2023-09-29,Overnight,87.62,Accessory,Extended Warranty,None
TRS2909230021,3853,67,Male,No,Smartwatch,SKU1003,3,Completed,Cash,8448.3,844.83,10,2023-09-29,Overnight,11.41,Impulse Item,None,None
TRS2909230022,3949,32,Male,No,Tablet,SKU1002,3,Cancelled,PayPal,1976.24,247.03,8,2023-09-29,Overnight,68.37,Accessory,Impulse Item,Extended Warranty
TRS3009230001,6693,53,Male,No,Tablet,SKU1002,3,Completed,Cash,1482.18,247.03,6,2023-09-30,Standard,28.88,Accessory,Impulse Item,None
TRS3009230002,1463,71,Female,No,Tablet,SKU1002,3,Completed,Cash,741.09,247.03,3,2023-09-30,Express,36.67,Extended Warranty,Impulse Item,None
TRS3009230003,7469,62,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Cash,4224.15,844.83,5,2023-09-30,Standard,72.1,Impulse Item,Impulse Item,Impulse Item
TRS3009230004,1359,42,Female,No,Smartphone,SKU1001,5,Cancelled,Cash,207.5,20.75,10,2023-09-30,Express,68.32,Impulse Item,Extended Warranty,Accessory
TRS3009230005,4224,23,Female,No,Smartphone,SKU1004,2,Completed,Cash,3955.95,791.19,5,2023-09-30,Standard,0.0,None,None,None
TRS3009230006,3135,63,Male,No,Smartwatch,SKU1003,3,Completed,Credit Card,2534.49,844.83,3,2023-09-30,Overnight,69.38,Accessory,Accessory,Impulse Item
TRS3009230007,6475,46,Male,No,Laptop,SKU1005,3,Completed,Debit Card,2783.76,463.96,6,2023-09-30,Express,5.3,Accessory,None,None
TRS3009230008,1389,22,Male,No,Tablet,SKU1002,3,Completed,Credit Card,1482.18,247.03,6,2023-09-30,Overnight,0.0,None,None,None
TRS3009230009,4244,43,Female,No,Tablet,SKU1002,3,Completed,Debit Card,988.12,247.03,4,2023-09-30,Express,0.0,None,None,None
TRS3009230010,7586,53,Male,No,Smartwatch,SKU1003,3,Completed,PayPal,6758.64,844.83,8,2023-09-30,Express,0.0,None,None,None
